36.123030,-5.442119;36.123030,-5.441941;36.123030,-5.441762;36.123030,-5.441583;36.123030,-5.441404;36.123030,-5.441225;36.123030,-5.441046;36.123030,-5.440868;36.123030,-5.440689;36.123030,-5.440510;36.123030,-5.440331;36.123030,-5.440152;36.123030,-5.439973;36.123030,-5.439794;36.123030,-5.439616;36.123030,-5.439437;36.123030,-5.439258;36.123030,-5.439079;36.123030,-5.438900;36.123030,-5.438721;36.123030,-5.438542;36.123030,-5.438364;36.123030,-5.438185;36.123030,-5.438006;36.123030,-5.437827;36.123030,-5.437648;36.123030,-5.437469;36.123030,-5.437290;36.123030,-5.437112;36.123030,-5.436933;36.123030,-5.436754;36.123030,-5.436575;36.123030,-5.436396;36.123030,-5.436217;36.123030,-5.436038;36.123030,-5.435860;36.123030,-5.435681;36.123030,-5.435502;36.123030,-5.435323;36.123030,-5.435144;36.123030,-5.434965;36.123030,-5.434786;36.123030,-5.434608;36.123030,-5.434429;36.123030,-5.434250;36.123030,-5.434071;36.123030,-5.433892;36.123030,-5.433713;36.123030,-5.433534;36.123030,-5.433356;36.123030,-5.433177;36.123030,-5.432998;36.123030,-5.432819;36.123030,-5.432640;36.123030,-5.432461;36.123030,-5.432282;36.123030,-5.432104;36.123030,-5.431925;
36.122850,-5.442119;36.122850,-5.441941;36.122850,-5.441762;36.122850,-5.441583;36.122850,-5.441404;36.122850,-5.441225;36.122850,-5.441046;36.122850,-5.440868;36.122850,-5.440689;36.122850,-5.440510;36.122850,-5.440331;36.122850,-5.440152;36.122850,-5.439973;36.122850,-5.439794;36.122850,-5.439616;36.122850,-5.439437;36.122850,-5.439258;36.122850,-5.439079;36.122850,-5.438900;36.122850,-5.438721;36.122850,-5.438542;36.122850,-5.438364;36.122850,-5.438185;36.122850,-5.438006;36.122850,-5.437827;36.122850,-5.437648;36.122850,-5.437469;36.122850,-5.437290;36.122850,-5.437112;36.122850,-5.436933;36.122850,-5.436754;36.122850,-5.436575;36.122850,-5.436396;36.122850,-5.436217;36.122850,-5.436038;36.122850,-5.435860;36.122850,-5.435681;36.122850,-5.435502;36.122850,-5.435323;36.122850,-5.435144;36.122850,-5.434965;36.122850,-5.434786;36.122850,-5.434608;36.122850,-5.434429;36.122850,-5.434250;36.122850,-5.434071;36.122850,-5.433892;36.122850,-5.433713;36.122850,-5.433534;36.122850,-5.433356;36.122850,-5.433177;36.122850,-5.432998;36.122850,-5.432819;36.122850,-5.432640;36.122850,-5.432461;36.122850,-5.432282;36.122850,-5.432104;36.122850,-5.431925;
36.122671,-5.442119;36.122671,-5.441941;36.122671,-5.441762;36.122671,-5.441583;36.122671,-5.441404;36.122671,-5.441225;36.122671,-5.441046;36.122671,-5.440868;36.122671,-5.440689;36.122671,-5.440510;36.122671,-5.440331;36.122671,-5.440152;36.122671,-5.439973;36.122671,-5.439794;36.122671,-5.439616;36.122671,-5.439437;36.122671,-5.439258;36.122671,-5.439079;36.122671,-5.438900;36.122671,-5.438721;36.122671,-5.438542;36.122671,-5.438364;36.122671,-5.438185;36.122671,-5.438006;36.122671,-5.437827;36.122671,-5.437648;36.122671,-5.437469;36.122671,-5.437290;36.122671,-5.437112;36.122671,-5.436933;36.122671,-5.436754;36.122671,-5.436575;36.122671,-5.436396;36.122671,-5.436217;36.122671,-5.436038;36.122671,-5.435860;36.122671,-5.435681;36.122671,-5.435502;36.122671,-5.435323;36.122671,-5.435144;36.122671,-5.434965;36.122671,-5.434786;36.122671,-5.434608;36.122671,-5.434429;36.122671,-5.434250;36.122671,-5.434071;36.122671,-5.433892;36.122671,-5.433713;36.122671,-5.433534;36.122671,-5.433356;36.122671,-5.433177;36.122671,-5.432998;36.122671,-5.432819;36.122671,-5.432640;36.122671,-5.432461;36.122671,-5.432282;36.122671,-5.432104;36.122671,-5.431925;
36.122491,-5.442119;36.122491,-5.441941;36.122491,-5.441762;36.122491,-5.441583;36.122491,-5.441404;36.122491,-5.441225;36.122491,-5.441046;36.122491,-5.440868;36.122491,-5.440689;36.122491,-5.440510;36.122491,-5.440331;36.122491,-5.440152;36.122491,-5.439973;36.122491,-5.439794;36.122491,-5.439616;36.122491,-5.439437;36.122491,-5.439258;36.122491,-5.439079;36.122491,-5.438900;36.122491,-5.438721;36.122491,-5.438542;36.122491,-5.438364;36.122491,-5.438185;36.122491,-5.438006;36.122491,-5.437827;36.122491,-5.437648;36.122491,-5.437469;36.122491,-5.437290;36.122491,-5.437112;36.122491,-5.436933;36.122491,-5.436754;36.122491,-5.436575;36.122491,-5.436396;36.122491,-5.436217;36.122491,-5.436038;36.122491,-5.435860;36.122491,-5.435681;36.122491,-5.435502;36.122491,-5.435323;36.122491,-5.435144;36.122491,-5.434965;36.122491,-5.434786;36.122491,-5.434608;36.122491,-5.434429;36.122491,-5.434250;36.122491,-5.434071;36.122491,-5.433892;36.122491,-5.433713;36.122491,-5.433534;36.122491,-5.433356;36.122491,-5.433177;36.122491,-5.432998;36.122491,-5.432819;36.122491,-5.432640;36.122491,-5.432461;36.122491,-5.432282;36.122491,-5.432104;36.122491,-5.431925;
36.122311,-5.442119;36.122311,-5.441941;36.122311,-5.441762;36.122311,-5.441583;36.122311,-5.441404;36.122311,-5.441225;36.122311,-5.441046;36.122311,-5.440868;36.122311,-5.440689;36.122311,-5.440510;36.122311,-5.440331;36.122311,-5.440152;36.122311,-5.439973;36.122311,-5.439794;36.122311,-5.439616;36.122311,-5.439437;36.122311,-5.439258;36.122311,-5.439079;36.122311,-5.438900;36.122311,-5.438721;36.122311,-5.438542;36.122311,-5.438364;36.122311,-5.438185;36.122311,-5.438006;36.122311,-5.437827;36.122311,-5.437648;36.122311,-5.437469;36.122311,-5.437290;36.122311,-5.437112;36.122311,-5.436933;36.122311,-5.436754;36.122311,-5.436575;36.122311,-5.436396;36.122311,-5.436217;36.122311,-5.436038;36.122311,-5.435860;36.122311,-5.435681;36.122311,-5.435502;36.122311,-5.435323;36.122311,-5.435144;36.122311,-5.434965;36.122311,-5.434786;36.122311,-5.434608;36.122311,-5.434429;36.122311,-5.434250;36.122311,-5.434071;36.122311,-5.433892;36.122311,-5.433713;36.122311,-5.433534;36.122311,-5.433356;36.122311,-5.433177;36.122311,-5.432998;36.122311,-5.432819;36.122311,-5.432640;36.122311,-5.432461;36.122311,-5.432282;36.122311,-5.432104;36.122311,-5.431925;
36.122132,-5.442119;36.122132,-5.441941;36.122132,-5.441762;36.122132,-5.441583;36.122132,-5.441404;36.122132,-5.441225;36.122132,-5.441046;36.122132,-5.440868;36.122132,-5.440689;36.122132,-5.440510;36.122132,-5.440331;36.122132,-5.440152;36.122132,-5.439973;36.122132,-5.439794;36.122132,-5.439616;36.122132,-5.439437;36.122132,-5.439258;36.122132,-5.439079;36.122132,-5.438900;36.122132,-5.438721;36.122132,-5.438542;36.122132,-5.438364;36.122132,-5.438185;36.122132,-5.438006;36.122132,-5.437827;36.122132,-5.437648;36.122132,-5.437469;36.122132,-5.437290;36.122132,-5.437112;36.122132,-5.436933;36.122132,-5.436754;36.122132,-5.436575;36.122132,-5.436396;36.122132,-5.436217;36.122132,-5.436038;36.122132,-5.435860;36.122132,-5.435681;36.122132,-5.435502;36.122132,-5.435323;36.122132,-5.435144;36.122132,-5.434965;36.122132,-5.434786;36.122132,-5.434608;36.122132,-5.434429;36.122132,-5.434250;36.122132,-5.434071;36.122132,-5.433892;36.122132,-5.433713;36.122132,-5.433534;36.122132,-5.433356;36.122132,-5.433177;36.122132,-5.432998;36.122132,-5.432819;36.122132,-5.432640;36.122132,-5.432461;36.122132,-5.432282;36.122132,-5.432104;36.122132,-5.431925;
36.121952,-5.442119;36.121952,-5.441941;36.121952,-5.441762;36.121952,-5.441583;36.121952,-5.441404;36.121952,-5.441225;36.121952,-5.441046;36.121952,-5.440868;36.121952,-5.440689;36.121952,-5.440510;36.121952,-5.440331;36.121952,-5.440152;36.121952,-5.439973;36.121952,-5.439794;36.121952,-5.439616;36.121952,-5.439437;36.121952,-5.439258;36.121952,-5.439079;36.121952,-5.438900;36.121952,-5.438721;36.121952,-5.438542;36.121952,-5.438364;36.121952,-5.438185;36.121952,-5.438006;36.121952,-5.437827;36.121952,-5.437648;36.121952,-5.437469;36.121952,-5.437290;36.121952,-5.437112;36.121952,-5.436933;36.121952,-5.436754;36.121952,-5.436575;36.121952,-5.436396;36.121952,-5.436217;36.121952,-5.436038;36.121952,-5.435860;36.121952,-5.435681;36.121952,-5.435502;36.121952,-5.435323;36.121952,-5.435144;36.121952,-5.434965;36.121952,-5.434786;36.121952,-5.434608;36.121952,-5.434429;36.121952,-5.434250;36.121952,-5.434071;36.121952,-5.433892;36.121952,-5.433713;36.121952,-5.433534;36.121952,-5.433356;36.121952,-5.433177;36.121952,-5.432998;36.121952,-5.432819;36.121952,-5.432640;36.121952,-5.432461;36.121952,-5.432282;36.121952,-5.432104;36.121952,-5.431925;
36.121772,-5.442119;36.121772,-5.441941;36.121772,-5.441762;36.121772,-5.441583;36.121772,-5.441404;36.121772,-5.441225;36.121772,-5.441046;36.121772,-5.440868;36.121772,-5.440689;36.121772,-5.440510;36.121772,-5.440331;36.121772,-5.440152;36.121772,-5.439973;36.121772,-5.439794;36.121772,-5.439616;36.121772,-5.439437;36.121772,-5.439258;36.121772,-5.439079;36.121772,-5.438900;36.121772,-5.438721;36.121772,-5.438542;36.121772,-5.438364;36.121772,-5.438185;36.121772,-5.438006;36.121772,-5.437827;36.121772,-5.437648;36.121772,-5.437469;36.121772,-5.437290;36.121772,-5.437112;36.121772,-5.436933;36.121772,-5.436754;36.121772,-5.436575;36.121772,-5.436396;36.121772,-5.436217;36.121772,-5.436038;36.121772,-5.435860;36.121772,-5.435681;36.121772,-5.435502;36.121772,-5.435323;36.121772,-5.435144;36.121772,-5.434965;36.121772,-5.434786;36.121772,-5.434608;36.121772,-5.434429;36.121772,-5.434250;36.121772,-5.434071;36.121772,-5.433892;36.121772,-5.433713;36.121772,-5.433534;36.121772,-5.433356;36.121772,-5.433177;36.121772,-5.432998;36.121772,-5.432819;36.121772,-5.432640;36.121772,-5.432461;36.121772,-5.432282;36.121772,-5.432104;36.121772,-5.431925;
36.121593,-5.442119;36.121593,-5.441941;36.121593,-5.441762;36.121593,-5.441583;36.121593,-5.441404;36.121593,-5.441225;36.121593,-5.441046;36.121593,-5.440868;36.121593,-5.440689;36.121593,-5.440510;36.121593,-5.440331;36.121593,-5.440152;36.121593,-5.439973;36.121593,-5.439794;36.121593,-5.439616;36.121593,-5.439437;36.121593,-5.439258;36.121593,-5.439079;36.121593,-5.438900;36.121593,-5.438721;36.121593,-5.438542;36.121593,-5.438364;36.121593,-5.438185;36.121593,-5.438006;36.121593,-5.437827;36.121593,-5.437648;36.121593,-5.437469;36.121593,-5.437290;36.121593,-5.437112;36.121593,-5.436933;36.121593,-5.436754;36.121593,-5.436575;36.121593,-5.436396;36.121593,-5.436217;36.121593,-5.436038;36.121593,-5.435860;36.121593,-5.435681;36.121593,-5.435502;36.121593,-5.435323;36.121593,-5.435144;36.121593,-5.434965;36.121593,-5.434786;36.121593,-5.434608;36.121593,-5.434429;36.121593,-5.434250;36.121593,-5.434071;36.121593,-5.433892;36.121593,-5.433713;36.121593,-5.433534;36.121593,-5.433356;36.121593,-5.433177;36.121593,-5.432998;36.121593,-5.432819;36.121593,-5.432640;36.121593,-5.432461;36.121593,-5.432282;36.121593,-5.432104;36.121593,-5.431925;
36.121413,-5.442119;36.121413,-5.441941;36.121413,-5.441762;36.121413,-5.441583;36.121413,-5.441404;36.121413,-5.441225;36.121413,-5.441046;36.121413,-5.440868;36.121413,-5.440689;36.121413,-5.440510;36.121413,-5.440331;36.121413,-5.440152;36.121413,-5.439973;36.121413,-5.439794;36.121413,-5.439616;36.121413,-5.439437;36.121413,-5.439258;36.121413,-5.439079;36.121413,-5.438900;36.121413,-5.438721;36.121413,-5.438542;36.121413,-5.438364;36.121413,-5.438185;36.121413,-5.438006;36.121413,-5.437827;36.121413,-5.437648;36.121413,-5.437469;36.121413,-5.437290;36.121413,-5.437112;36.121413,-5.436933;36.121413,-5.436754;36.121413,-5.436575;36.121413,-5.436396;36.121413,-5.436217;36.121413,-5.436038;36.121413,-5.435860;36.121413,-5.435681;36.121413,-5.435502;36.121413,-5.435323;36.121413,-5.435144;36.121413,-5.434965;36.121413,-5.434786;36.121413,-5.434608;36.121413,-5.434429;36.121413,-5.434250;36.121413,-5.434071;36.121413,-5.433892;36.121413,-5.433713;36.121413,-5.433534;36.121413,-5.433356;36.121413,-5.433177;36.121413,-5.432998;36.121413,-5.432819;36.121413,-5.432640;36.121413,-5.432461;36.121413,-5.432282;36.121413,-5.432104;36.121413,-5.431925;
36.121233,-5.442119;36.121233,-5.441941;36.121233,-5.441762;36.121233,-5.441583;36.121233,-5.441404;36.121233,-5.441225;36.121233,-5.441046;36.121233,-5.440868;36.121233,-5.440689;36.121233,-5.440510;36.121233,-5.440331;36.121233,-5.440152;36.121233,-5.439973;36.121233,-5.439794;36.121233,-5.439616;36.121233,-5.439437;36.121233,-5.439258;36.121233,-5.439079;36.121233,-5.438900;36.121233,-5.438721;36.121233,-5.438542;36.121233,-5.438364;36.121233,-5.438185;36.121233,-5.438006;36.121233,-5.437827;36.121233,-5.437648;36.121233,-5.437469;36.121233,-5.437290;36.121233,-5.437112;36.121233,-5.436933;36.121233,-5.436754;36.121233,-5.436575;36.121233,-5.436396;36.121233,-5.436217;36.121233,-5.436038;36.121233,-5.435860;36.121233,-5.435681;36.121233,-5.435502;36.121233,-5.435323;36.121233,-5.435144;36.121233,-5.434965;36.121233,-5.434786;36.121233,-5.434608;36.121233,-5.434429;36.121233,-5.434250;36.121233,-5.434071;36.121233,-5.433892;36.121233,-5.433713;36.121233,-5.433534;36.121233,-5.433356;36.121233,-5.433177;36.121233,-5.432998;36.121233,-5.432819;36.121233,-5.432640;36.121233,-5.432461;36.121233,-5.432282;36.121233,-5.432104;36.121233,-5.431925;
36.121054,-5.442119;36.121054,-5.441941;36.121054,-5.441762;36.121054,-5.441583;36.121054,-5.441404;36.121054,-5.441225;36.121054,-5.441046;36.121054,-5.440868;36.121054,-5.440689;36.121054,-5.440510;36.121054,-5.440331;36.121054,-5.440152;36.121054,-5.439973;36.121054,-5.439794;36.121054,-5.439616;36.121054,-5.439437;36.121054,-5.439258;36.121054,-5.439079;36.121054,-5.438900;36.121054,-5.438721;36.121054,-5.438542;36.121054,-5.438364;36.121054,-5.438185;36.121054,-5.438006;36.121054,-5.437827;36.121054,-5.437648;36.121054,-5.437469;36.121054,-5.437290;36.121054,-5.437112;36.121054,-5.436933;36.121054,-5.436754;36.121054,-5.436575;36.121054,-5.436396;36.121054,-5.436217;36.121054,-5.436038;36.121054,-5.435860;36.121054,-5.435681;36.121054,-5.435502;36.121054,-5.435323;36.121054,-5.435144;36.121054,-5.434965;36.121054,-5.434786;36.121054,-5.434608;36.121054,-5.434429;36.121054,-5.434250;36.121054,-5.434071;36.121054,-5.433892;36.121054,-5.433713;36.121054,-5.433534;36.121054,-5.433356;36.121054,-5.433177;36.121054,-5.432998;36.121054,-5.432819;36.121054,-5.432640;36.121054,-5.432461;36.121054,-5.432282;36.121054,-5.432104;36.121054,-5.431925;
36.120874,-5.442119;36.120874,-5.441941;36.120874,-5.441762;36.120874,-5.441583;36.120874,-5.441404;36.120874,-5.441225;36.120874,-5.441046;36.120874,-5.440868;36.120874,-5.440689;36.120874,-5.440510;36.120874,-5.440331;36.120874,-5.440152;36.120874,-5.439973;36.120874,-5.439794;36.120874,-5.439616;36.120874,-5.439437;36.120874,-5.439258;36.120874,-5.439079;36.120874,-5.438900;36.120874,-5.438721;36.120874,-5.438542;36.120874,-5.438364;36.120874,-5.438185;36.120874,-5.438006;36.120874,-5.437827;36.120874,-5.437648;36.120874,-5.437469;36.120874,-5.437290;36.120874,-5.437112;36.120874,-5.436933;36.120874,-5.436754;36.120874,-5.436575;36.120874,-5.436396;36.120874,-5.436217;36.120874,-5.436038;36.120874,-5.435860;36.120874,-5.435681;36.120874,-5.435502;36.120874,-5.435323;36.120874,-5.435144;36.120874,-5.434965;36.120874,-5.434786;36.120874,-5.434608;36.120874,-5.434429;36.120874,-5.434250;36.120874,-5.434071;36.120874,-5.433892;36.120874,-5.433713;36.120874,-5.433534;36.120874,-5.433356;36.120874,-5.433177;36.120874,-5.432998;36.120874,-5.432819;36.120874,-5.432640;36.120874,-5.432461;36.120874,-5.432282;36.120874,-5.432104;36.120874,-5.431925;
36.120694,-5.442119;36.120694,-5.441941;36.120694,-5.441762;36.120694,-5.441583;36.120694,-5.441404;36.120694,-5.441225;36.120694,-5.441046;36.120694,-5.440868;36.120694,-5.440689;36.120694,-5.440510;36.120694,-5.440331;36.120694,-5.440152;36.120694,-5.439973;36.120694,-5.439794;36.120694,-5.439616;36.120694,-5.439437;36.120694,-5.439258;36.120694,-5.439079;36.120694,-5.438900;36.120694,-5.438721;36.120694,-5.438542;36.120694,-5.438364;36.120694,-5.438185;36.120694,-5.438006;36.120694,-5.437827;36.120694,-5.437648;36.120694,-5.437469;36.120694,-5.437290;36.120694,-5.437112;36.120694,-5.436933;36.120694,-5.436754;36.120694,-5.436575;36.120694,-5.436396;36.120694,-5.436217;36.120694,-5.436038;36.120694,-5.435860;36.120694,-5.435681;36.120694,-5.435502;36.120694,-5.435323;36.120694,-5.435144;36.120694,-5.434965;36.120694,-5.434786;36.120694,-5.434608;36.120694,-5.434429;36.120694,-5.434250;36.120694,-5.434071;36.120694,-5.433892;36.120694,-5.433713;36.120694,-5.433534;36.120694,-5.433356;36.120694,-5.433177;36.120694,-5.432998;36.120694,-5.432819;36.120694,-5.432640;36.120694,-5.432461;36.120694,-5.432282;36.120694,-5.432104;36.120694,-5.431925;
36.120515,-5.442119;36.120515,-5.441941;36.120515,-5.441762;36.120515,-5.441583;36.120515,-5.441404;36.120515,-5.441225;36.120515,-5.441046;36.120515,-5.440868;36.120515,-5.440689;36.120515,-5.440510;36.120515,-5.440331;36.120515,-5.440152;36.120515,-5.439973;36.120515,-5.439794;36.120515,-5.439616;36.120515,-5.439437;36.120515,-5.439258;36.120515,-5.439079;36.120515,-5.438900;36.120515,-5.438721;36.120515,-5.438542;36.120515,-5.438364;36.120515,-5.438185;36.120515,-5.438006;36.120515,-5.437827;36.120515,-5.437648;36.120515,-5.437469;36.120515,-5.437290;36.120515,-5.437112;36.120515,-5.436933;36.120515,-5.436754;36.120515,-5.436575;36.120515,-5.436396;36.120515,-5.436217;36.120515,-5.436038;36.120515,-5.435860;36.120515,-5.435681;36.120515,-5.435502;36.120515,-5.435323;36.120515,-5.435144;36.120515,-5.434965;36.120515,-5.434786;36.120515,-5.434608;36.120515,-5.434429;36.120515,-5.434250;36.120515,-5.434071;36.120515,-5.433892;36.120515,-5.433713;36.120515,-5.433534;36.120515,-5.433356;36.120515,-5.433177;36.120515,-5.432998;36.120515,-5.432819;36.120515,-5.432640;36.120515,-5.432461;36.120515,-5.432282;36.120515,-5.432104;36.120515,-5.431925;
36.120335,-5.442119;36.120335,-5.441941;36.120335,-5.441762;36.120335,-5.441583;36.120335,-5.441404;36.120335,-5.441225;36.120335,-5.441046;36.120335,-5.440868;36.120335,-5.440689;36.120335,-5.440510;36.120335,-5.440331;36.120335,-5.440152;36.120335,-5.439973;36.120335,-5.439794;36.120335,-5.439616;36.120335,-5.439437;36.120335,-5.439258;36.120335,-5.439079;36.120335,-5.438900;36.120335,-5.438721;36.120335,-5.438542;36.120335,-5.438364;36.120335,-5.438185;36.120335,-5.438006;36.120335,-5.437827;36.120335,-5.437648;36.120335,-5.437469;36.120335,-5.437290;36.120335,-5.437112;36.120335,-5.436933;36.120335,-5.436754;36.120335,-5.436575;36.120335,-5.436396;36.120335,-5.436217;36.120335,-5.436038;36.120335,-5.435860;36.120335,-5.435681;36.120335,-5.435502;36.120335,-5.435323;36.120335,-5.435144;36.120335,-5.434965;36.120335,-5.434786;36.120335,-5.434608;36.120335,-5.434429;36.120335,-5.434250;36.120335,-5.434071;36.120335,-5.433892;36.120335,-5.433713;36.120335,-5.433534;36.120335,-5.433356;36.120335,-5.433177;36.120335,-5.432998;36.120335,-5.432819;36.120335,-5.432640;36.120335,-5.432461;36.120335,-5.432282;36.120335,-5.432104;36.120335,-5.431925;
36.120155,-5.442119;36.120155,-5.441941;36.120155,-5.441762;36.120155,-5.441583;36.120155,-5.441404;36.120155,-5.441225;36.120155,-5.441046;36.120155,-5.440868;36.120155,-5.440689;36.120155,-5.440510;36.120155,-5.440331;36.120155,-5.440152;36.120155,-5.439973;36.120155,-5.439794;36.120155,-5.439616;36.120155,-5.439437;36.120155,-5.439258;36.120155,-5.439079;36.120155,-5.438900;36.120155,-5.438721;36.120155,-5.438542;36.120155,-5.438364;36.120155,-5.438185;36.120155,-5.438006;36.120155,-5.437827;36.120155,-5.437648;36.120155,-5.437469;36.120155,-5.437290;36.120155,-5.437112;36.120155,-5.436933;36.120155,-5.436754;36.120155,-5.436575;36.120155,-5.436396;36.120155,-5.436217;36.120155,-5.436038;36.120155,-5.435860;36.120155,-5.435681;36.120155,-5.435502;36.120155,-5.435323;36.120155,-5.435144;36.120155,-5.434965;36.120155,-5.434786;36.120155,-5.434608;36.120155,-5.434429;36.120155,-5.434250;36.120155,-5.434071;36.120155,-5.433892;36.120155,-5.433713;36.120155,-5.433534;36.120155,-5.433356;36.120155,-5.433177;36.120155,-5.432998;36.120155,-5.432819;36.120155,-5.432640;36.120155,-5.432461;36.120155,-5.432282;36.120155,-5.432104;36.120155,-5.431925;
36.119976,-5.442119;36.119976,-5.441941;36.119976,-5.441762;36.119976,-5.441583;36.119976,-5.441404;36.119976,-5.441225;36.119976,-5.441046;36.119976,-5.440868;36.119976,-5.440689;36.119976,-5.440510;36.119976,-5.440331;36.119976,-5.440152;36.119976,-5.439973;36.119976,-5.439794;36.119976,-5.439616;36.119976,-5.439437;36.119976,-5.439258;36.119976,-5.439079;36.119976,-5.438900;36.119976,-5.438721;36.119976,-5.438542;36.119976,-5.438364;36.119976,-5.438185;36.119976,-5.438006;36.119976,-5.437827;36.119976,-5.437648;36.119976,-5.437469;36.119976,-5.437290;36.119976,-5.437112;36.119976,-5.436933;36.119976,-5.436754;36.119976,-5.436575;36.119976,-5.436396;36.119976,-5.436217;36.119976,-5.436038;36.119976,-5.435860;36.119976,-5.435681;36.119976,-5.435502;36.119976,-5.435323;36.119976,-5.435144;36.119976,-5.434965;36.119976,-5.434786;36.119976,-5.434608;36.119976,-5.434429;36.119976,-5.434250;36.119976,-5.434071;36.119976,-5.433892;36.119976,-5.433713;36.119976,-5.433534;36.119976,-5.433356;36.119976,-5.433177;36.119976,-5.432998;36.119976,-5.432819;36.119976,-5.432640;36.119976,-5.432461;36.119976,-5.432282;36.119976,-5.432104;36.119976,-5.431925;
